,League,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Year,Month,Day_n,Game
334,IT,34,Sun,2022-04-24,,Bologna,,Udinese,,,,Head-to-Head,,2022,04,24,Bologna vs Udinese
335,IT,34,Sun,2022-04-24,,Venezia,,Atalanta,,,,Head-to-Head,,2022,04,24,Venezia vs Atalanta
336,IT,34,Sun,2022-04-24,,Hellas Verona,,Sampdoria,,,,Head-to-Head,,2022,04,24,Hellas Verona vs Sampdoria
337,IT,34,Sun,2022-04-24,,Salernitana,,Fiorentina,,,,Head-to-Head,,2022,04,24,Salernitana vs Fiorentina
338,IT,34,Sun,2022-04-24,,Sassuolo,,Juventus,,,,Head-to-Head,,2022,04,24,Sassuolo vs Juventus
339,IT,34,Sun,2022-04-24,,Lazio,,Milan,,,,Head-to-Head,,2022,04,24,Lazio vs Milan
340,IT,34,Sun,2022-04-24,,Torino,,Spezia,,,,Head-to-Head,,2022,04,24,Torino vs Spezia
341,IT,34,Sun,2022-04-24,,Inter,,Roma,,,,Head-to-Head,,2022,04,24,Inter vs Roma
342,IT,34,Sun,2022-04-24,,Genoa,,Cagliari,,,,Head-to-Head,,2022,04,24,Genoa vs Cagliari
343,IT,34,Sun,2022-04-24,,Empoli,,Napoli,,,,Head-to-Head,,2022,04,24,Empoli vs Napoli
344,IT,35,Sun,2022-05-01,,Roma,,Bologna,,,,Head-to-Head,,2022,05,01,Roma vs Bologna
345,IT,35,Sun,2022-05-01,,Napoli,,Sassuolo,,,,Head-to-Head,,2022,05,01,Napoli vs Sassuolo
346,IT,35,Sun,2022-05-01,,Empoli,,Torino,,,,Head-to-Head,,2022,05,01,Empoli vs Torino
347,IT,35,Sun,2022-05-01,,Cagliari,,Hellas Verona,,,,Head-to-Head,,2022,05,01,Cagliari vs Hellas Verona
348,IT,35,Sun,2022-05-01,,Juventus,,Venezia,,,,Head-to-Head,,2022,05,01,Juventus vs Venezia
349,IT,35,Sun,2022-05-01,,Milan,,Fiorentina,,,,Head-to-Head,,2022,05,01,Milan vs Fiorentina
350,IT,35,Sun,2022-05-01,,Spezia,,Lazio,,,,Head-to-Head,,2022,05,01,Spezia vs Lazio
351,IT,35,Sun,2022-05-01,,Atalanta,,Salernitana,,,,Head-to-Head,,2022,05,01,Atalanta vs Salernitana
352,IT,35,Sun,2022-05-01,,Sampdoria,,Genoa,,,,Head-to-Head,,2022,05,01,Sampdoria vs Genoa
353,IT,35,Sun,2022-05-01,,Udinese,,Inter,,,,Head-to-Head,,2022,05,01,Udinese vs Inter
354,IT,36,Sun,2022-05-08,,Sassuolo,,Udinese,,,,Head-to-Head,,2022,05,08,Sassuolo vs Udinese
355,IT,36,Sun,2022-05-08,,Torino,,Napoli,,,,Head-to-Head,,2022,05,08,Torino vs Napoli
356,IT,36,Sun,2022-05-08,,Genoa,,Juventus,,,,Head-to-Head,,2022,05,08,Genoa vs Juventus
357,IT,36,Sun,2022-05-08,,Lazio,,Sampdoria,,,,Head-to-Head,,2022,05,08,Lazio vs Sampdoria
358,IT,36,Sun,2022-05-08,,Fiorentina,,Roma,,,,Head-to-Head,,2022,05,08,Fiorentina vs Roma
359,IT,36,Sun,2022-05-08,,Hellas Verona,,Milan,,,,Head-to-Head,,2022,05,08,Hellas Verona vs Milan
360,IT,36,Sun,2022-05-08,,Salernitana,,Cagliari,,,,Head-to-Head,,2022,05,08,Salernitana vs Cagliari
361,IT,36,Sun,2022-05-08,,Venezia,,Bologna,,,,Head-to-Head,,2022,05,08,Venezia vs Bologna
362,IT,36,Sun,2022-05-08,,Spezia,,Atalanta,,,,Head-to-Head,,2022,05,08,Spezia vs Atalanta
363,IT,36,Sun,2022-05-08,,Inter,,Empoli,,,,Head-to-Head,,2022,05,08,Inter vs Empoli
364,IT,37,Sun,2022-05-15,,Udinese,,Spezia,,,,Head-to-Head,,2022,05,15,Udinese vs Spezia
365,IT,37,Sun,2022-05-15,,Bologna,,Sassuolo,,,,Head-to-Head,,2022,05,15,Bologna vs Sassuolo
366,IT,37,Sun,2022-05-15,,Hellas Verona,,Torino,,,,Head-to-Head,,2022,05,15,Hellas Verona vs Torino
367,IT,37,Sun,2022-05-15,,Napoli,,Genoa,,,,Head-to-Head,,2022,05,15,Napoli vs Genoa
368,IT,37,Sun,2022-05-15,,Juventus,,Lazio,,,,Head-to-Head,,2022,05,15,Juventus vs Lazio
369,IT,37,Sun,2022-05-15,,Sampdoria,,Fiorentina,,,,Head-to-Head,,2022,05,15,Sampdoria vs Fiorentina
370,IT,37,Sun,2022-05-15,,Empoli,,Salernitana,,,,Head-to-Head,,2022,05,15,Empoli vs Salernitana
371,IT,37,Sun,2022-05-15,,Roma,,Venezia,,,,Head-to-Head,,2022,05,15,Roma vs Venezia
372,IT,37,Sun,2022-05-15,,Cagliari,,Inter,,,,Head-to-Head,,2022,05,15,Cagliari vs Inter
373,IT,37,Sun,2022-05-15,,Milan,,Atalanta,,,,Head-to-Head,,2022,05,15,Milan vs Atalanta
374,IT,38,Sun,2022-05-22,,Torino,,Roma,,,,Head-to-Head,,2022,05,22,Torino vs Roma
375,IT,38,Sun,2022-05-22,,Lazio,,Hellas Verona,,,,Head-to-Head,,2022,05,22,Lazio vs Hellas Verona
376,IT,38,Sun,2022-05-22,,Salernitana,,Udinese,,,,Head-to-Head,,2022,05,22,Salernitana vs Udinese
377,IT,38,Sun,2022-05-22,,Fiorentina,,Juventus,,,,Head-to-Head,,2022,05,22,Fiorentina vs Juventus
378,IT,38,Sun,2022-05-22,,Spezia,,Napoli,,,,Head-to-Head,,2022,05,22,Spezia vs Napoli
379,IT,38,Sun,2022-05-22,,Atalanta,,Empoli,,,,Head-to-Head,,2022,05,22,Atalanta vs Empoli
380,IT,38,Sun,2022-05-22,,Genoa,,Bologna,,,,Head-to-Head,,2022,05,22,Genoa vs Bologna
381,IT,38,Sun,2022-05-22,,Inter,,Sampdoria,,,,Head-to-Head,,2022,05,22,Inter vs Sampdoria
382,IT,38,Sun,2022-05-22,,Venezia,,Cagliari,,,,Head-to-Head,,2022,05,22,Venezia vs Cagliari
383,IT,38,Sun,2022-05-22,,Sassuolo,,Milan,,,,Head-to-Head,,2022,05,22,Sassuolo vs Milan
384,FL,25,Fri,2022-02-18,21:00 (23:00),Lille,,Metz,,Stade Pierre-Mauroy,,Head-to-Head,,2022,02,18,Lille vs Metz
385,FL,25,Sat,2022-02-19,17:00 (19:00),Lens,,Lyon,,Stade Bollaert-Delelis,,Head-to-Head,,2022,02,19,Lens vs Lyon
386,FL,25,Sat,2022-02-19,21:00 (23:00),Nantes,,Paris S-G,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,,2022,02,19,Nantes vs Paris S-G
387,FL,25,Sun,2022-02-20,13:00 (15:00),Nice,,Angers,,Stade de Nice,,Head-to-Head,,2022,02,20,Nice vs Angers
388,FL,25,Sun,2022-02-20,15:00 (17:00),Rennes,,Troyes,,Roazhon Park,,Head-to-Head,,2022,02,20,Rennes vs Troyes
389,FL,25,Sun,2022-02-20,15:00 (17:00),Lorient,,Montpellier,,Stade Yves Allainmat - Le Moustoir,,Head-to-Head,,2022,02,20,Lorient vs Montpellier
390,FL,25,Sun,2022-02-20,15:00 (17:00),Reims,,Brest,,Stade Auguste-Delaune II,,Head-to-Head,,2022,02,20,Reims vs Brest
391,FL,25,Sun,2022-02-20,15:00 (17:00),Saint-Étienne,,Strasbourg,,Stade Geoffroy-Guichard,,Head-to-Head,,2022,02,20,Saint-Étienne vs Strasbourg
392,FL,25,Sun,2022-02-20,17:05 (19:05),Bordeaux,,Monaco,,Stade Matmut-Atlantique,,Head-to-Head,,2022,02,20,Bordeaux vs Monaco
393,FL,25,Sun,2022-02-20,20:45 (22:45),Marseille,,Clermont Foot,,Orange Vélodrome,,Head-to-Head,,2022,02,20,Marseille vs Clermont Foot
394,FL,26,Fri,2022-02-25,21:00 (23:00),Montpellier,,Rennes,,Stade de la Mosson,,Head-to-Head,,2022,02,25,Montpellier vs Rennes
395,FL,26,Sat,2022-02-26,17:00 (19:00),Monaco,,Reims,,Stade Louis II.,,Head-to-Head,,2022,02,26,Monaco vs Reims
396,FL,26,Sat,2022-02-26,21:00 (23:00),Paris S-G,,Saint-Étienne,,Parc des Princes,,Head-to-Head,,2022,02,26,Paris S-G vs Saint-Étienne
397,FL,26,Sun,2022-02-27,13:00 (15:00),Strasbourg,,Nice,,Stade de la Meinau,,Head-to-Head,,2022,02,27,Strasbourg vs Nice
398,FL,26,Sun,2022-02-27,15:00 (17:00),Angers,,Lens,,Stade Raymond Kopa,,Head-to-Head,,2022,02,27,Angers vs Lens
399,FL,26,Sun,2022-02-27,15:00 (17:00),Metz,,Nantes,,Stade Saint-Symphorien,,Head-to-Head,,2022,02,27,Metz vs Nantes
400,FL,26,Sun,2022-02-27,15:00 (17:00),Clermont Foot,,Bordeaux,,Stade Gabriel Montpied,,Head-to-Head,,2022,02,27,Clermont Foot vs Bordeaux
401,FL,26,Sun,2022-02-27,15:00 (17:00),Brest,,Lorient,,Stade Francis-Le Blé,,Head-to-Head,,2022,02,27,Brest vs Lorient
402,FL,26,Sun,2022-02-27,17:05 (19:05),Troyes,,Marseille,,Stade de l'Aube,,Head-to-Head,,2022,02,27,Troyes vs Marseille
403,FL,26,Sun,2022-02-27,20:45 (22:45),Lyon,,Lille,,Groupama Stadium,,Head-to-Head,,2022,02,27,Lyon vs Lille
404,FL,27,Sun,2022-03-06,,Nice,,Paris S-G,,Stade de Nice,,Head-to-Head,,2022,03,06,Nice vs Paris S-G
405,FL,27,Sun,2022-03-06,,Marseille,,Monaco,,Orange Vélodrome,,Head-to-Head,,2022,03,06,Marseille vs Monaco
406,FL,27,Sun,2022-03-06,,Rennes,,Angers,,Roazhon Park,,Head-to-Head,,2022,03,06,Rennes vs Angers
407,FL,27,Sun,2022-03-06,,Nantes,,Montpellier,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,,2022,03,06,Nantes vs Montpellier
408,FL,27,Sun,2022-03-06,,Lens,,Brest,,Stade Bollaert-Delelis,,Head-to-Head,,2022,03,06,Lens vs Brest
409,FL,27,Sun,2022-03-06,,Bordeaux,,Troyes,,Stade Matmut-Atlantique,,Head-to-Head,,2022,03,06,Bordeaux vs Troyes
410,FL,27,Sun,2022-03-06,,Saint-Étienne,,Metz,,Stade Geoffroy-Guichard,,Head-to-Head,,2022,03,06,Saint-Étienne vs Metz
411,FL,27,Sun,2022-03-06,,Lille,,Clermont Foot,,Stade Pierre-Mauroy,,Head-to-Head,,2022,03,06,Lille vs Clermont Foot
