Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
28,Sat,2014-03-15,,Heracles Almelo,2–1,Roda JC,,Polman Stadion,Pol van Boekel,Match Report,
28,Sat,2014-03-15,,Vitesse,1–2,PSV Eindhoven,,GelreDome,Kevin Blom,Match Report,
28,Sun,2014-03-16,,Twente,2–1,AZ Alkmaar,,De Grolsch Veste,Danny Makkelie,Match Report,
28,Sun,2014-03-16,,NAC Breda,0–0,Ajax,,Rat Verlegh Stadion,Richard Liesveld,Match Report,
28,Sun,2014-03-16,,NEC Nijmegen,2–2,Utrecht,,Goffertstadion,Eric Braamhaar,Match Report,
28,Sun,2014-03-16,,Feyenoord,2–0,Heerenveen,,De Kuip,Pieter Vink,Match Report,
28,Sun,2014-03-16,,Zwolle,2–0,Go Ahead Eag,,IJsseldelta Stadion,Serdar Gözübüyük,Match Report,
29,Sat,2014-03-22,,Groningen,3–1,Vitesse,,Euroborg,Pieter Vink,Match Report,
29,Sat,2014-03-22,,PSV Eindhoven,3–1,Roda JC,,Philips Stadion,Danny Makkelie,Match Report,
29,Sat,2014-03-22,,Heerenveen,2–2,NEC Nijmegen,,Abe Lenstra stadion,Tom van Sichem,Match Report,
29,Sun,2014-03-23,,AZ Alkmaar,2–1,Zwolle,,AFAS Stadion,Bas Nijhuis,Match Report,
30,Fri,2014-03-28,,NAC Breda,2–2,Utrecht,,Rat Verlegh Stadion,Dennis Higler,Match Report,
30,Sat,2014-03-29,,Vitesse,2–2,Heerenveen,,GelreDome,Bas Nijhuis,Match Report,
30,Sat,2014-03-29,,NEC Nijmegen,1–2,Heracles Almelo,,Goffertstadion,Kevin Blom,Match Report,
30,Sat,2014-03-29,,PSV Eindhoven,2–3,Groningen,,Philips Stadion,Tom van Sichem,Match Report,
30,Sun,2014-03-30,,Ajax,3–0,Twente,,Amsterdam ArenA,Pieter Vink,Match Report,
30,Sun,2014-03-30,,ADO Den Haag,1–1,Zwolle,,Kyocera Stadium,Jochem Kamphuis,Match Report,
30,Sun,2014-03-30,,Cambuur,0–0,AZ Alkmaar,,Cambuurstadion,Ed Janssen,Match Report,
30,Sun,2014-03-30,,Feyenoord,5–0,Go Ahead Eag,,De Kuip,Richard Liesveld,Match Report,
30,Sun,2014-03-30,,Roda JC,0–1,RKC Waalwijk,,Parkstad Limburg Stadion,Björn Kuipers,Match Report,
29,Wed,2014-04-02,,RKC Waalwijk,0–2,Ajax,,Mandemakers Stadion,Eric Braamhaar,Match Report,
29,Wed,2014-04-02,,Go Ahead Eag,2–1,NAC Breda,,De Adelaarshorst,Jochem Kamphuis,Match Report,
29,Wed,2014-04-02,,Twente,1–1,ADO Den Haag,,De Grolsch Veste,Kevin Blom,Match Report,
29,Wed,2014-04-02,,Heracles Almelo,1–2,Feyenoord,,Polman Stadion,Danny Makkelie,Match Report,
29,Wed,2014-04-02,,Utrecht,1–0,Cambuur,,Galgenwaard,Björn Kuipers,Match Report,
31,Fri,2014-04-04,,Zwolle,0–1,Groningen,,IJsseldelta Stadion,Pol van Boekel,Match Report,
31,Sat,2014-04-05,,NAC Breda,0–2,Twente,,Rat Verlegh Stadion,Tom van Sichem,Match Report,
31,Sat,2014-04-05,,Heerenveen,3–0,PSV Eindhoven,,Abe Lenstra stadion,Richard Liesveld,Match Report,
31,Sat,2014-04-05,,Heracles Almelo,1–2,Go Ahead Eag,,Polman Stadion,Dennis Higler,Match Report,
31,Sat,2014-04-05,,NEC Nijmegen,1–1,Cambuur,,Goffertstadion,Reinold Wiedemeijer,Match Report,
31,Sun,2014-04-06,,Feyenoord,2–0,RKC Waalwijk,,De Kuip,Kevin Blom,Match Report,
31,Sun,2014-04-06,,ADO Den Haag,4–1,Utrecht,,Kyocera Stadium,Bas Nijhuis,Match Report,
31,Sun,2014-04-06,,Roda JC,2–2,AZ Alkmaar,,Parkstad Limburg Stadion,Eric Braamhaar,Match Report,
31,Sun,2014-04-06,,Vitesse,1–1,Ajax,,GelreDome,Björn Kuipers,Match Report,
32,Fri,2014-04-11,,Groningen,2–1,NAC Breda,,Euroborg,Eric Braamhaar,Match Report,
32,Sat,2014-04-12,,Go Ahead Eag,0–2,Heerenveen,,De Adelaarshorst,Reinold Wiedemeijer,Match Report,
